SVR2484HP360	10.8.2.24
SVR2485HP360	10.8.2.25
SVR2486HP360	10.8.2.26
SVR2060HP360	10.8.2.84
SVR4214HP360	10.8.2.133
SVR4211HP360	10.8.2.174
SVR4210HP360	10.8.2.175
SVR3775HW1288	10.8.2.196
SVR3774HW1288	10.8.2.197
SVR1398HP360	10.8.3.110
VMS09436	10.8.14.87
VMS06685	10.8.14.95
VMS06686	10.8.14.96
VMS06709	10.8.14.98
VMS06710	10.8.14.100
VMS06711	10.8.14.101
VMS06687	10.8.14.110
VMS06688	10.8.14.111
VMS06689	10.8.14.112
VMS06690	10.8.14.113
VMS09437	10.8.14.128
VMS09438	10.8.14.129
VMS09439	10.8.14.130
VMS09440	10.8.14.131
VMS09441	10.8.14.132
